Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Marty Domres\DomrMa00,0,0,0,2,1969,1977,19,90,32,399,809,4904,27,80,50,79,588
Don Strock\StroDo00,0,0,0,0,1974,1988,18,167,22,443,779,5349,45,67,42,37,320
Pete Beathard\BeatPe00,0,0,0,3,1964,1973,26,110,35,575,1282,8176,43,86,84,41,353
Kyle Boller\BollKy00,0,0,0,4,2003,2011,17,67,47,861,1519,8931,48,77,54,123,802
Terrelle Pryor\PryoTe00,0,0,0,2,2011,2018,17,51,30,175,311,1994,9,73,12,32,204
Dick Shiner\ShinDi00,0,0,0,2,1964,1974,17,99,29,354,736,4801,36,80,43,46,341
Scott Brunner\BrunSc00,0,0,0,2,1980,1985,17,73,30,512,1046,6457,29,62,54,71,518
Cliff Stoudt\StouCl00,0,0,0,1,1980,1989,16,66,20,359,684,4506,23,72,43,76,494
Dave Wilson\WilsDa00,0,0,0,2,1981,1988,16,53,31,551,1039,6987,36,63,55,99,824
Joe Pisarcik\PisaJo00,0,0,0,2,1977,1984,16,61,30,425,898,5552,24,82,48,112,845
Blaine Gabbert\GabbBl00,0,0,0,2,2011,2020,16,57,48,842,1499,9063,48,80,47,138,916
Ty Detmer\DetmTy00,0,0,0,2,1993,2003,15,54,25,546,946,6351,34,57,35,67,386
Frank Reich\ReicFr00,0,0,0,1,1985,1998,15,118,20,508,932,6075,40,63,36,68,503
Steve Dils\DilsSt00,0,0,0,1,1979,1988,15,106,27,504,972,5816,27,68,32,80,575
Matt Cavanaugh\CavaMa00,2,0,0,1,1979,1991,15,112,19,305,579,4332,28,75,30,60,462
Paul McDonald\McDoPa00,0,0,0,1,1980,1986,15,85,21,411,767,5269,24,64,37,78,521
Seneca Wallace\WallSe00,0,0,0,1,2005,2013,14,64,22,468,788,4947,31,90,19,59,339
David Archer\ArchDa00,0,0,0,2,1984,1989,14,55,23,336,661,4337,18,65,30,89,642
Jack Thompson\ThomJa00,0,0,0,1,1979,1984,13,51,21,449,845,5315,33,80,45,85,695
Pat Ryan\RyanPa00,0,0,0,1,1978,1991,13,145,19,364,657,4320,31,50,35,50,342
Ralph Guglielmi\GuglRa00,0,0,0,1,1955,1963,13,66,27,292,626,4119,24,80,52,,
Joe Reed\ReedJo00,0,0,0,1,1972,1979,12,50,19,225,513,2825,18,65,31,59,420
Steve Tensi\TensSt00,0,0,0,3,1965,1970,20,56,34,369,862,5558,43,79,46,35,243
Turk Schonert\SchoTu00,0,0,0,0,1981,1989,12,72,12,311,504,3788,11,71,20,64,536
Matt Robinson\RobiMa01,0,0,0,1,1977,1982,12,69,20,244,523,3519,18,77,38,59,470
John Roach\RoacJo00,2,0,0,1,1956,1964,12,64,23,182,413,2765,24,62,37,,
Ray Lucas\LucaRa00,0,0,0,1,1996,2002,12,55,15,280,483,3029,18,77,17,29,183
Todd Collins\CollTo00,0,0,0,1,1995,2010,11,50,21,391,701,4547,22,95,24,67,447
Gifford Nielsen\NielGi00,0,0,0,1,1978,1983,10,55,14,273,498,3255,20,48,22,47,354
John Reaves\ReavJo00,0,0,0,0,1972,1987,10,51,17,286,616,3617,17,77,34,63,505
Gary Huff\HuffGa00,0,0,0,3,1973,1978,10,57,28,392,788,4329,16,73,50,82,812
George Mira\MiraGe00,0,0,0,0,1964,1971,10,60,8,148,346,2110,19,79,20,10,87
Kellen Clemens\ClemKe00,0,0,0,2,2006,2017,10,64,21,350,638,4053,16,81,21,66,401
Gary Wood\WoodGa00,0,0,0,0,1964,1969,10,63,9,186,400,2575,14,70,23,0,0
Don Horn\HornDo00,1,0,0,1,1967,1974,10,57,15,232,465,3369,20,89,36,25,217
Norris Weese\WeesNo00,0,0,0,0,1976,1979,9,57,7,143,251,1887,7,50,14,36,240
Tony Adams\AdamTo00,0,0,0,0,1975,1987,9,53,10,212,408,2733,12,63,27,59,447
